Coordinate,Rod_Number,Broken,Recessed,Excessed,Glue_on_Fibers
3_R_32S,273,,,,
4_S_1P,163,,,,
4_S_2P,168,,,,
3_S_3P,169,,,,
3_S_4P,15,,,,
4_S_5S,163,,,,
4_S_6S,168,,,,
3_S_7S,169,,,,
3_S_8S,115,,,,
4_S_9P,29,,,,
4_S_10P,27,,,,
3_S_11P,25,,,,
3_S_12P,21,,,,
4_S_13S,29,,,,
4_S_14S,27,,,,
3_S_15S,25,,,,
3_S_16S,21,,,,
4_S_17P,147,,,,
4_S_18P,447,,,,
3_S_19P,17,,,,
3_S_20P,19,,,,
4_S_21S,147,,,,
4_S_22S,447,,,,
3_S_23S,17,,,,
3_S_24S,19,,,,
4_S_25P,31,,,,
4_S_26P,150,,,,
3_S_27P,121,,,,
3_S_28P,104,,,,
4_S_29S,31,,,,
4_S_30S,150,,,,
3_S_31S,121,,,,
3_S_32S,104,,,,
4_T_1Q,366,,,,
4_T_2Q,305,,,,
4_T_3Q,309,,,,
4_T_4Q,306,,,,
4_T_5S,366,,,,
4_T_6S,305,,,,
4_T_7S,309,,,,
4_T_8S,306,,,,
4_T_9Q,997,,,,
4_T_10Q,280,,,,
4_T_11Q,336,,,,
4_T_12Q,338,,,,
4_T_13S,997,,,,
4_T_14S,280,,,,
4_T_15S,336,,,,
4_T_16S,338,,,,
4_T_17Q,318,,,,
4_T_18Q,266,,,,
4_T_19Q,376,,,,
4_T_20Q,358,,,,
4_T_21S,318,,,,
4_T_22S,266,,,,
4_T_23S,376,,,,
4_T_24S,358,,,,
4_T_25Q,455,,x,,
4_T_26Q,331,,,,
4_T_27Q,316,,,,
4_T_28Q,314,,,,
4_T_29S,455,,,,
4_T_30S,331,,,,
4_T_31S,316,,,,
4_T_32S,314,,,,
4_U_1Q,327,,,x,
4_U_2Q,333,,,,
4_U_3Q,340,,,,
4_U_4Q,345,,,,
4_U_5S,327,,,,
4_U_6S,333,,x,,
4_U_7S,340,,,,
4_U_8S,345,,,,
4_U_9P,129,,,,
4_U_10P,109,,,,
4_U_11Q,299,,,,
4_U_12Q,323,,,,
4_U_13S,129,,,,
4_U_14S,109,,,,
4_U_15S,299,x,,,
4_U_16S,323,,,,
4_U_17P,241,,,,
4_U_18P,240,,,,
4_U_19P,162,,,,
4_U_20P,165,,,,
4_U_21S,241,,,,
4_U_22S,240,,,,
4_U_23S,162,,,,
4_U_24S,165,,,,
4_U_25P,166,,,,
4_U_26P,134,,,,
4_U_27P,444,,,,
4_U_28P,12,,,,
4_U_29S,166,,,,
4_U_30S,135,,,,
4_U_31S,444,,,,
4_U_32S,12,,,,
4_V_1P,449,,,,
4_V_2P,451,,,,
4_V_3Q,312,,,,
4_V_4Q,365,,,,
4_V_5S,449,,,,
4_V_6S,451,,,,
4_V_7S,312,,,x,
4_V_8S,365,,,,
4_V_9P,22,,,,
4_V_10P,20,,,,
4_V_11Q,264,,,,
4_V_12Q,269,,,,
4_V_13S,22,,,,
4_V_14S,20,,,,
4_V_15S,264,x,,,
4_V_16S,269,,,,
4_V_17P,56,,,,
4_V_18P,5,,,,
4_V_19Q,290,,x,,
4_V_20Q,262,,,,
4_V_21S,56,,,,
4_V_22S,5,,,,
4_V_23S,290,,,,
4_V_24S,262,,,,
4_V_25P,26,,,,
4_V_26P,103,,,,
4_V_27P,102,,,,
4_V_28Q,276,,,,
4_V_29S,26,,,,
4_V_30S,103,,,,
4_V_31S,102,,,,
4_V_32S,276,x,,,
4_W_1P,426,,,,
4_W_2P,86,,,,
4_W_3P,435,,,,
4_W_4P,448,,,,
4_W_5S,426,,,,
4_W_6S,86,,,,
4_W_7S,425,,,,
4_W_8S,448,,,,
4_W_9P,120,,,,
4_W_10P,122,,,,
4_W_11P,131,,,,
4_W_12P,132,,,,
4_W_13S,120,,,,
4_W_14S,122,,,,
4_W_15S,131,,,,
4_W_16S,132,,,,
4_W_17P,232,,,,
4_W_18P,171,,,,
4_W_19P,210,,,,
4_W_20P,60,,,,
4_W_21S,232,,,,x
4_W_22S,171,,,,
4_W_23S,210,,,,
4_W_24S,60,,,,
4_W_25P,246,,,,
4_W_26P,436,,,,
4_W_27P,153,,,,
4_W_28P,251,,,,
4_W_29S,246,x,,,
4_W_30S,436,,,x,
4_W_31S,1553,,,,
4_W_32S,251,,,,
4_X_1P,66,,,,
4_X_2P,48,,,,
4_X_3P,50,,,,
4_X_4P,54,,,,
4_X_5S,66,,x,,
4_X_6S,48,,,,
4_X_7S,50,,,,
4_X_8S,54,,,,
4_X_9P,28,,,x,
4_X_10P,30,,,,
4_X_11P,80,,,,
4_X_12P,7,,,,
4_X_13S,28,,,,
4_X_14S,30,,,x,
4_X_15S,80,,,,
4_X_16S,7,,,,
4_X_17P,170,,,x,
4_X_18P,116.5,,,,
4_X_19P,130,,,x,
4_X_20P,78,,,,
4_X_21S,170,,,,
4_X_22S,116.5,,,,
4_X_23S,130,,,,
4_X_24S,78,,,,
4_X_25P,164,,,,
4_X_26P,142,,,x,
4_X_27P,206,,,,
4_X_28P,9,,,,
4_X_29S,164,,x,,
4_X_30S,142,,,,
4_X_31S,206,,,x,
4_X_32S,9,,,,
3mm::,,,,,
1-A,,,,,
1-B,,,,,
1-C,,,,,
1-D,477,,,,
2-A,474,,,,
2-B,439,,,,
2-C,175,,,,
2-D,414,,,,
3-A,427,,,,
3-B,476,,,,
3-C,441,,,,
3-D,395,,,,
4-A,?,,,,
4-B,420,,,,
4-C,440,,,,
4-D,416,,,,
